OTU	size	match	species	ID1	ID2	rep/refs	Kingdom	Phylum	Class	Order	Family	Genus	Species	taxonomy	Guild_full	Guild	Trophic_Mode	Confidence Ranking
OTU159	664	98.9	Basidiomycota_sp	UDB05021812	SH0941435.09FU	reps	Fungi	Basidiomycota	-	-	-	-	-	Fungi;Basidiomycota;-;-;-;-;-	-	nd	nd	-
OTU160	937	98.9	Galerina_fallax	UDB011833	SH1162882.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina_fallax	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Galerina;Galerina_fallax	Bryophyte Parasite-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU162	1148	96.8	Chytridiomycota_sp	UDB02296534	SH1123130.09FU	reps	Fungi	Chytridiomycota	-	-	-	-	-	Fungi;Chytridiomycota;-;-;-;-;-	-	nd	nd	-
OTU163	1179	97.4	Auriculariales_sp	UDB0415999	SH0896047.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	-	-	-	Fungi;Basidiomycota;Agaricomycetes;Auriculariales;-;-;-	-	nd	nd	-
OTU164	586	99.2	Cladophialophora_sp	UDB02916031	SH1069756.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU166	626	99.2	Piloderma_bicolor	UDB001740	SH1455679.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_bicolor	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Pilodermataceae;Piloderma;Piloderma_bicolor	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU167	680	98.9	Hypocreales_sp	UDB03568305	SH1262802.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	-	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales;Hypocreales;-	Undefined Saprotroph	nd	nd	Possible
OTU168	508	98.8	Pochonia_globispora	DQ516079	SH1111181.09FU	refs	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia_globispora	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;Pochonia_globispora	Animal Parasite-Animal Pathogen-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU169	503	99.6	Rozellomycota_sp	UDB06700802	SH1074364.09FU	reps	Fungi	Rozellomycota	-	-	-	-	-	Fungi;Rozellomycota;-;-;-;-;-	-	nd	nd	-
OTU17	26918	99.2	Cortinarius_armeniacus	UDB001346	SH0987739.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_armeniacus	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_armeniacus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU170	493	98.8	Tremellales_sp	UDB06404700	SH1187906.09FU	reps	Fungi	Basidiomycota	Tremellomycetes	Tremellales	-	-	-	Fungi;Basidiomycota;Tremellomycetes;Tremellales;-;-;-	Fungal Parasite-Undefined Saprotroph	nd	nd	Possible
OTU172	488	99.3	Tomentella_sp	UDB06271190	SH1141683.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	-	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;-	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU173	483	99.4	Russula_sp	UDB06204659	SH1221976.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	-	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;-	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU174	506	99	Trechispora_sp	KJ140560	SH1175061.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	-	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Trechispora;-	Wood Saprotroph	Saprotroph	Saprotroph	Highly Probable
OTU176	489	97.2	Cordycipitaceae_sp	MG642824	SH1259374.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	-	-	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;-;-	-	nd	nd	-
OTU177	448	98.4	Trichoderma_pararogersonii	KY750455	SH1066453.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_pararogersonii	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_pararogersonii	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU179	418	98.4	Agaricomycetes_sp	UDB0915784	SH1086224.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	-	-	-	-	Fungi;Basidiomycota;Agaricomycetes;-;-;-;-	-	nd	nd	-
OTU18	36994	99.4	Russula_emetica	UDB000300	SH1181587.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_emetica	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_emetica	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU180	414	99.2	Auriculariales_sp	UDB01468801	SH1030780.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	-	-	-	Fungi;Basidiomycota;Agaricomycetes;Auriculariales;-;-;-	-	nd	nd	-
OTU181	413	97.9	GS21_sp	UDB0721303	SH1203103.09FU	reps	Fungi	Mucoromycota	Endogonomycetes	-	-	-	-	Fungi;Mucoromycota;Endogonomycetes;-;-;-;-	-	nd	nd	-
OTU185	406	99.3	Ganoderma_applanatum	UDB0778969	SH1249237.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma_applanatum	Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma;Ganoderma_applanatum	Plant Pathogen-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph	Highly Probable
OTU188	393	99	Spizellomycetales_sp	UDB0420504	SH1111426.09FU	reps	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	-	-	-	Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;-;-;-	-	nd	nd	-
OTU189	406	98.9	Agaricomycetes_sp	UDB06360299	SH1159345.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	-	-	-	-	Fungi;Basidiomycota;Agaricomycetes;-;-;-;-	-	nd	nd	-
OTU190	377	99.3	Dissoderma_galerinicola	UDB034994	SH1254861.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Squamanitaceae	Dissoderma	Dissoderma_galerinicola	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Squamanitaceae;Dissoderma;Dissoderma_galerinicola	-	nd	nd	-
OTU191	377	99.7	Ampulloclitocybe_clavipes	UDB011219	SH1215253.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Ampulloclitocybe	Ampulloclitocybe_clavipes	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Ampulloclitocybe;Ampulloclitocybe_clavipes	Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU192	375	97	Solicoccozyma_sp	UDB07203816	SH0879829.09FU	reps	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	-	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;-	Epiphyte-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU193	371	99.1	Mortierella_bainieri	JX975901	SH1039160.09FU	refs	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_bainieri	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_bainieri	Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU194	412	98.3	Ramariopsis_sp	UDB06268236	SH1236822.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	-	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Ramariopsis;-	Undefined Saprotroph-Undefined Symbiotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU195	362	97.9	Mycena_metata	UDB015412	SH1126130.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_metata	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena_metata	Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU196	358	97.9	Fungi_sp	UDB04643395	SH1301955.09FU	reps	Fungi	-	-	-	-	-	-	Fungi;-;-;-;-;-;-	-	nd	nd	-
OTU198	356	100	Amanita_porphyria	UDB011151	SH1192464.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_porphyria	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita_porphyria	Ectomycorrhizal-Undefined Saprotroph	Ectomycorrhizal	Saprotroph-Symbiotroph	Probable
